id,fecha,produccion(Wh)
3,14/06/2020,38936
7,12/06/2020,15979
7,13/06/2020,18995
7,14/06/2020,18938
11,12/06/2020,23159.2
11,13/06/2020,26733.525
11,14/06/2020,26448.135
12,12/06/2020,32289
12,13/06/2020,42582
12,14/06/2020,42249
13,12/06/2020,40640
13,13/06/2020,51249
13,14/06/2020,51229
14,12/06/2020,9918.353
14,13/06/2020,16310.367
14,14/06/2020,16373.012
16,12/06/2020,13977.847
16,13/06/2020,15912.018
16,14/06/2020,15788.57
19,12/06/2020,13294.565
19,13/06/2020,16199.806
19,14/06/2020,15994.156
20,12/06/2020,15681.877
20,13/06/2020,19727.145
20,14/06/2020,19577.787
25,12/06/2020,10354
25,13/06/2020,15358
25,14/06/2020,15317
1,15/06/2020,36708.418
1,16/06/2020,40761.113
2,15/06/2020,33949
2,16/06/2020,34179
3,15/06/2020,34195
3,16/06/2020,37393
7,15/06/2020,18254
7,16/06/2020,18435
11,15/06/2020,24968.521
11,16/06/2020,25403.9
12,15/06/2020,38878
12,16/06/2020,40102
13,15/06/2020,47485
13,16/06/2020,48321
14,15/06/2020,16216.37
14,16/06/2020,13519.722
16,15/06/2020,15010.924
16,16/06/2020,15178.035
19,15/06/2020,14670.629
19,16/06/2020,15412.455
20,15/06/2020,19030.287
20,16/06/2020,18806.998
25,15/06/2020,15161
25,16/06/2020,13577
1,17/06/2020,39943.84
2,17/06/2020,34005
3,17/06/2020,36743
7,17/06/2020,18148
11,17/06/2020,25247.07
12,17/06/2020,39664
13,17/06/2020,47581
14,17/06/2020,10733.913
16,17/06/2020,14998.004
19,17/06/2020,15046.849
20,17/06/2020,18312.836
25,17/06/2020,11105
1,18/06/2020,40592.49
2,18/06/2020,34352
3,18/06/2020,37398
6,18/06/2020,11291
7,18/06/2020,18402
11,18/06/2020,25471.553
12,18/06/2020,37781
13,18/06/2020,49740
14,18/06/2020,12866.164
16,18/06/2020,15201.515
19,18/06/2020,15717.092
20,18/06/2020,18506.496
25,18/06/2020,12293
1,19/06/2020,39243.918
1,20/06/2020,37931.69
1,21/06/2020,29775.125
2,19/06/2020,32215
2,20/06/2020,30998
