id,azimuth,tilt,type,capacity(kWp),lat,lon
Downtown,168,15,poli,4.68,19.42363,-99.13177
West,193,11,poli,5.83,19.399021,-99.24541
East,180,13,poli,2.38,19.40485,-98.992381
South,135,13,poli,2.65,19.278835,-99.142413
North,197,13,poli,3.18,19.560209,-99.127307
